dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,basin_id,phase,method
Haaglanden,64,3,96,0.1,0.0005,16,1.1627976894378662,0.48984375,0.4562069228239235,0.4898642096345121,0.46454006352094035,4,4,hc_step,Basin Hopping
Haaglanden,64,5,96,0.1,0.0005,16,1.1267187595367432,0.52421875,0.5078883924766521,0.5242811191474427,0.5012427373747925,4,4,hc_step,Basin Hopping
Haaglanden,64,4,96,0.2,0.0005,16,1.1800163984298706,0.49921875,0.4866326097925631,0.49174338713186466,0.47324978057341405,4,4,hc_step,Basin Hopping
Haaglanden,64,4,96,0.1,0.001,16,1.098726749420166,0.50703125,0.496127689972091,0.5079992781247958,0.4952209042436439,4,4,hc_step,Basin Hopping
Haaglanden,64,4,64,0.1,0.0005,16,1.1142895221710205,0.53203125,0.502784401722197,0.5298507437129253,0.505159841683607,4,4,hc_step,Basin Hopping
Haaglanden,64,4,96,0.1,0.0001,16,1.1282750368118286,0.528125,0.48959614459614464,0.5267794151087737,0.48883589750396456,4,4,hc_step,Basin Hopping
Haaglanden,64,4,128,0.1,0.0005,16,1.0964452028274536,0.5453125,0.5408671191281677,0.5429084480848005,0.539066013529355,4,4,hc_step,Basin Hopping
Haaglanden,64,4,96,0.1,0.0005,32,1.1590617895126343,0.509375,0.5098772032725185,0.5152914507866183,0.48649581265555797,4,4,hc_step,Basin Hopping
Haaglanden,128,4,96,0.1,0.0001,16,1.1994221210479736,0.490625,0.45389309471066974,0.48784723596446955,0.4369365428240578,4,5,hc_start,Basin Hopping
Haaglanden,128,4,128,0.1,0.0001,16,1.0889666080474854,0.53125,0.4945574380032456,0.5282179505977673,0.4994854955707426,4,5,hc_step,Basin Hopping
Haaglanden,128,4,96,0.1,0.0001,16,1.16823410987854,0.50859375,0.4864884515607507,0.5050798696273782,0.48162147513669123,4,5,hc_step,Basin Hopping
Haaglanden,128,5,128,0.1,0.0001,16,1.1132476329803467,0.540625,0.5066143754226504,0.5330027772038567,0.5063029829596747,4,5,hc_step,Basin Hopping
Haaglanden,128,4,128,0.2,0.0001,16,1.172997236251831,0.5,0.4515057479119006,0.49632438926401523,0.4434916920392613,4,5,hc_step,Basin Hopping
Haaglanden,128,3,128,0.1,0.0001,16,1.1975877285003662,0.4875,0.4931029966316521,0.4842226402198788,0.4812462964534586,4,5,hc_step,Basin Hopping
Haaglanden,128,4,128,0.1,0.0001,32,1.1925320625305176,0.5015625,0.46147579858498267,0.4965638666693016,0.4608374734205659,4,5,hc_step,Basin Hopping
Haaglanden,96,4,128,0.1,0.0001,16,1.1291331052780151,0.5140625,0.48130109326382875,0.5122206629875765,0.4880750120349573,4,5,hc_step,Basin Hopping
